// NAME,DISPLAY NAME,KEYMAP,EVENT NAME,EVENT ARG,KEY (Advanced),KEY (Simple),REPEAT,ALLOW REMAP?

// -------------------------------------------------------,,,,,,,,
// Shell keys are used by the overall game shell,,,,,,,,
// -------------------------------------------------------,,,,,,,,

key_shell_ScreenFullToggle,tx_key_ScreenFullToggle,Shell,ScreenFullToggle,,"""alt+ENTER""","""alt+ENTER""",0,1

key_shell_profEnableChildren,,Shell,ConfigCommand,"""PROF: EnableChildren""","""ctrl+alt+C""","""ctrl+alt+C""",0,1
key_shell_profResetFrameTime,,Shell,ConfigCommand,"""PROF: ResetMaxFrameTime""","""ctrl+alt+F""","""ctrl+alt+F""",0,1
key_shell_DebugConsoleToggle,,Shell,DebugConsoleToggle,,"""ctrl+TAB""","""ctrl+TAB""",0,1
key_shell_GameExit,,Shell,GameExit,,"""Ctrl+Alt+Shift+Q""","""Ctrl+Alt+Shift+Q""",0,1

key_shell_FastLoad,,Shell,FastLoad,,"""Ctrl+G""","""Ctrl+G""",0,1
key_shell_FastLoad_saveGame,,Shell,FastLoad,"""savegame""","""Ctrl+Shift+G""","""Ctrl+Shift+G""",0,1
key_shell_FastLoad_scenario,,Shell,FastLoad,"""scenario""","""Ctrl+Alt+Shift+G""","""Ctrl+Alt+Shift+G""",0,1
key_shell_FastLoad_editor,,Shell,FastLoad,"""edit""","""Ctrl+E""","""Ctrl+E""",0,1
key_shell_FastLoad_editScen,,Shell,FastLoad,"""edit scenario""","""Ctrl+Alt+Shift+E""","""Ctrl+Alt+Shift+E""",0,1

key_shell_DebugMultiPage,,Shell,ShowDebugMultiPage,,"""ctrl+O""","""ctrl+O""",0,1
key_shell_DebugMultiPage_alt,,Shell,ShowDebugMultiPage,,"""ctrl+Alt+Shift+O""","""ctrl+Alt+Shift+O""",0,1


// -------------------------------------------------------,,,,,,,,
// Stats keys are used on the postgame stats screen,,,,,,,,
// -------------------------------------------------------,,,,,,,,

key_stats_ScreenFullToggle,tx_key_ScreenFullToggle,Stats,ScreenFullToggle,,"""alt+ENTER""","""alt+ENTER""",0,1

key_stats_GameExit,,Stats,GameExit,,"""Ctrl+Alt+Shift+Q""","""Ctrl+Alt+Shift+Q""",0,1

key_stats_DebugConsoleToggle,,Stats,DebugConsoleToggle,,"""ctrl+TAB""","""ctrl+TAB""",0,1
key_stats_DebugMultiPage,,Stats,ShowDebugMultiPage,,"""ctrl+O""","""ctrl+O""",0,1
key_stats_DebugMultiPage_alt,,Stats,ShowDebugMultiPage,,"""ctrl+Alt+Shift+O""","""ctrl+Alt+Shift+O""",0,1


// -------------------------------------------------------,,,,,,,,
// Camera keys are used by the main camera controller(s),,,,,,,,
// -------------------------------------------------------,,,,,,,,

// toggle fly mode,,,,,,,,
key_camera_FlyModeToggle,,Camera,CamFlyModeToggle,,"""ctrl+F""","""ctrl+F""",0,1

// rotate camera up (only used in fly-mode),,,,,,,,
key_camera_RotUp,tx_key_camera_RotUp,Camera,CamCtrl,RotUp,"""ctrl+UP""","""ctrl+UP""",1,1
